English Word,Node Collections
early,Spatial?Time?Future
earnest,Objective Focus -> Immaterial -> Opinion Perspective
easy,Focus->Subjective Focus -> Abstract->Positive
easy-going,Objective Focus -> Immaterial -> Opinion Perspective
ecstatic,Objective Focus -> Immaterial -> Opinion Perspective
edible,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
educated,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
elaborate,Focus->Subjective Focus -> Abstract->Positive
elastic,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
elated,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
elderly,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
electric,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
elegant,Objective Focus -> Immaterial -> Opinion Perspective
elementary,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
elliptical,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
embarrassed,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
embellished,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
eminent,Focus->Subjective Focus -> Abstract->Positive
emotional,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
empty,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
enchanted,Objective Focus -> Immaterial -> Opinion Perspective
enchanting,Objective Focus -> Immaterial -> Opinion Perspective
energetic,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
enlightened,Objective Focus -> Immaterial -> Opinion Perspective
enormous,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
enraged,Focus->Subjective Focus -> Abstract->Negative
entire,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
envious,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
equal,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
equatorial,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
essential,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
esteemed,Objective Focus -> Immaterial -> Opinion Perspective
ethical,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
euphoric,Objective Focus -> Immaterial -> Opinion Perspective
even,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
evergreen,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
everlasting,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
every,
evil,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
exalted,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
excellent,Objective Focus -> Immaterial -> Opinion Perspective
excitable,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
excited,Objective Focus -> Immaterial -> Opinion Perspective
exciting,Objective Focus -> Immaterial -> Opinion Perspective
exemplary,Objective Focus -> Immaterial -> Opinion Perspective
exhausted,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
exotic,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
expensive,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
experienced,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
expert,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
extra-large,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
extra-small,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
extraneous,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
extroverted,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
,
fabulous,Objective Focus -> Immaterial -> Opinion Perspective
failing,Focus->Subjective Focus -> Abstract->Negative
faint,Focus->Subjective Focus -> Abstract->Negative
fair,Objective Focus -> Immaterial -> Opinion Perspective
faithful,Focus->Subjective Focus -> Abstract->Positive
fake,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
FALSE,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
familiar,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
famous,Focus->Subjective Focus -> Abstract->Positive
fancy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fantastic,Objective Focus -> Immaterial -> Opinion Perspective
far,Spatial||Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
far-flung,Spatial||Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
far-off,Spatial||Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
faraway,Spatial||Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fast,Action||Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fat,Focus->Subjective Focus -> Abstract->Negative
fatal,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ?Abstract?Negative
fatherly,Objective Focus -> Immaterial -> Opinion Perspective
favorable,Objective Focus -> Immaterial -> Opinion Perspective
favorite,Focus->Subjective Focus -> Abstract->Positive
fearful,Focus->Subjective Focus -> Abstract->Negative
fearless,Objective Focus -> Immaterial -> Opinion Perspective
feisty,Objective Focus -> Immaterial -> Opinion Perspective
feline,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
female,Identity->Species->Female||Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
feminine,
few,Focus->Subjective Focus -> Abstract->Negative
fickle,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
filthy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fine,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
finished,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
firm,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
first,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
firsthand,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fitting,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fixed,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
flaky,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
flamboyant,Objective Focus -> Immaterial -> Opinion Perspective
flashy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
flat,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
flawed,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
flawless,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
flickering,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
flimsy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
flippant,Focus->Subjective Focus -> Abstract->Negative
flowery,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fluffy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fluid,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
flustered,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
Focused,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fond,Focus->Subjective Focus -> Abstract->Positive
foolhardy,Objective Focus -> Immaterial -> Opinion Perspective
foolish,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
forceful,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
forked,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
formal,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
forsaken,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
forthright,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fortunate,Objective Focus -> Immaterial -> Opinion Perspective
fragrant,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
frail,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
frank,Objective Focus -> Immaterial -> Opinion Perspective
frayed,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
free,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
French,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
frequent,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fresh,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
friendly,Focus->Subjective Focus -> Abstract->Positive
frightened,Focus->Subjective Focus -> Abstract->Negative
frightening,Objective Focus -> Immaterial -> Opinion Perspective
frigid,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
frilly,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
frivolous,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
frizzy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
front,
frosty,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
frozen,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
frugal,Focus->Subjective Focus -> Abstract->Positive
fruitful,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
full,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
fumbling,Focus->Subjective Focus -> Abstract->Negative
functional,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
funny,Objective Focus -> Immaterial -> Opinion Perspective
fussy,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
fuzzy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
,
gargantuan,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
gaseous,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
general,Focus->Subjective Focus -> Abstract->Positive
generous,Objective Focus -> Immaterial -> Opinion Perspective
gentle,Objective Focus -> Immaterial -> Opinion Perspective
genuine,Objective Focus -> Immaterial -> Opinion Perspective
giant,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
giddy,Objective Focus -> Immaterial -> Opinion Perspective
gifted,Objective Focus -> Immaterial -> Opinion Perspective
gigantic,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
giving,Objective Focus -> Immaterial -> Opinion Perspective
glamorous,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
glaring,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
glass,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
gleaming,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
gleeful,Objective Focus -> Immaterial -> Opinion Perspective
glistening,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
glittering,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
gloomy,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
glorious,Objective Focus -> Immaterial -> Opinion Perspective
glossy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
glum,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
golden,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
good,Focus->Subjective Focus -> Abstract->Positive
good-natured,Objective Focus -> Immaterial -> Opinion Perspective
gorgeous,Objective Focus -> Immaterial -> Opinion Perspective
graceful,Objective Focus -> Immaterial -> Opinion Perspective
gracious,Objective Focus -> Immaterial -> Opinion Perspective
grand,Focus->Subjective Focus -> Abstract->Positive
grandiose,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
granular,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
grateful,Objective Focus -> Immaterial -> Opinion Perspective
grave,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
gray,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
great,Objective Focus -> Immaterial -> Opinion Perspective
greedy,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
green,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
gregarious,Objective Focus -> Immaterial -> Opinion Perspective
grim,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
grimy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
gripping,Focus->Subjective Focus -> Abstract->Positive
grizzled,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
gross,Focus->Subjective Focus -> Abstract->Negative
grotesque,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
grouchy,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
grounded,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
growing,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
growling,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
grown,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
grubby,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
gruesome,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
grumpy,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
guilty,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
gullible,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
gummy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
,
hairy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
half,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
handmade,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
handsome,Objective Focus -> Immaterial -> Opinion Perspective
handy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
happy,Objective Focus -> Immaterial -> Opinion Perspective
happy-go-lucky,Objective Focus -> Immaterial -> Opinion Perspective
hard,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
hard-to-find,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
harmful,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
harmless,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
harmonious,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
harsh,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
hasty,Focus->Subjective Focus -> Abstract->Negative
hateful,Objective Focus -> Immaterial -> Opinion Perspective
haunting,Focus->Subjective Focus -> Abstract->Negative
healthy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
heartfelt,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
hearty,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
heavenly,Focus->Subjective Focus -> Abstract->Positive
heavy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
hefty,Focus->Subjective Focus -> Abstract->Negative
helpful,Objective Focus -> Immaterial -> Opinion Perspective
helpless,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
hidden,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
hideous,Focus->Subjective Focus -> Abstract->Negative
high,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
high-level,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
hilarious,Objective Focus -> Immaterial -> Opinion Perspective
hoarse,Focus->Subjective Focus -> Abstract->Negative
hollow,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
homely,Focus->Subjective Focus -> Abstract->Negative
honest,Objective Focus -> Immaterial -> Opinion Perspective
honorable,Objective Focus -> Immaterial -> Opinion Perspective
honored,Focus->Subjective Focus -> Abstract->Positive
hopeful,Objective Focus -> Immaterial -> Opinion Perspective
horrible,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
hospitable,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
hot,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
huge,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
humble,Objective Focus -> Immaterial -> Opinion Perspective
humiliating,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
humming,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
humongous,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
hungry,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
hurtful,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
husky,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
,
icky,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
icy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
ideal,Focus->Subjective Focus -> Abstract->Positive
idealistic,Objective Focus -> Immaterial -> Opinion Perspective
identical,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
idiotic,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
idle,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
idolized,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
ignorant,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
ill,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
ill-fated,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
ill-informed,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
illegal,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
illiterate,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
illustrious,Objective Focus -> Immaterial -> Opinion Perspective
imaginary,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
imaginative,Objective Focus -> Immaterial -> Opinion Perspective
immaculate,Focus->Subjective Focus -> Abstract->Positive
immaterial,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
immediate,
immense,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
impartial,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
impassioned,Objective Focus -> Immaterial -> Opinion Perspective
impeccable,Objective Focus -> Immaterial -> Opinion Perspective
imperfect,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
imperturbable,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
impish,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
impolite,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
important,Objective Focus -> Immaterial -> Opinion Perspective
impossible,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
impractical,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
impressionable,Objective Focus -> Immaterial -> Opinion Perspective
impressive,Objective Focus -> Immaterial -> Opinion Perspective
improbable,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
impure,Focus->Subjective Focus -> Abstract->Negative
inborn,Focus->Subjective Focus -> Abstract->Negative
incomparable,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
incompatible,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
incomplete,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
inconsequential,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
incredible,Objective Focus -> Immaterial -> Opinion Perspective
indelible,Focus->Subjective Focus -> Abstract->Positive
indolent,Focus->Subjective Focus -> Abstract->Negative
inexperienced,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
infamous,Objective Focus -> Immaterial -> Opinion Perspective
infantile,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
infatuated,Objective Focus -> Immaterial -> Opinion Perspective
inferior,Focus->Subjective Focus -> Abstract->Negative
infinite,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
informal,Focus->Subjective Focus -> Abstract->Negative
innocent,Objective Focus -> Immaterial -> Opinion Perspective
insecure,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
insidious,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
insignificant,Focus->Subjective Focus -> Abstract->Negative
insistent,
instructive,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
insubstantial,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
intelligent,Objective Focus -> Immaterial -> Opinion Perspective
intent,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
intentional,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
interesting,Objective Focus -> Immaterial -> Opinion Perspective
internal,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
international,
intrepid,Objective Focus -> Immaterial -> Opinion Perspective
ironclad,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
irresponsible,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
irritating,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
itchy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
,
jaded,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
jagged,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
jam-packed,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
jaunty,Focus->Subjective Focus -> Abstract->Negative
jealous,Objective Focus -> Immaterial -> Opinion Perspective || Focus->Subjective Focus -> Abstract->Negative
jittery,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
joint,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
jolly,Objective Focus -> Immaterial -> Opinion Perspective
jovial,Objective Focus -> Immaterial -> Opinion Perspective
joyful,Objective Focus -> Immaterial -> Opinion Perspective
joyous,Objective Focus -> Immaterial -> Opinion Perspective
jubilant,Objective Focus -> Immaterial -> Opinion Perspective
judicious,Focus->Subjective Focus -> Abstract->Positive
juicy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
jumbo,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
jumpy,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
junior,Focus->Subjective Focus -> Abstract->Negative
juvenile,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
,
kaleidoscopic,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
keen,Objective Focus -> Immaterial -> Opinion Perspective
key,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
kind,Objective Focus -> Immaterial -> Opinion Perspective
kindhearted,Objective Focus -> Immaterial -> Opinion Perspective
kindly,Focus->Subjective Focus -> Abstract->Positive
klutzy,Focus->Subjective Focus -> Abstract->Negative
knobby,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
knotty,Focus->Objective Focus -> Immaterial ->Factual || Focus->Subjective Focus ->Abstract-> Creative
knowing,Focus->Subjective Focus -> Abstract->Positive
knowledgeable,Focus->Subjective Focus -> Abstract->Positive
