English Word,Node Collections
dresser,Objective Focus -> Material Object
drill,Objective Focus -> Material Object
drum,Objective Focus -> Material Object
duck,Identity -> Species
dunebuggy,Objective Focus -> Material Object
eagle,Identity -> Species
earmuffs,Objective Focus -> Material Object
eel,Identity -> Species
eggplant,Objective Focus -> Material Object
elephant,Identity -> Species
elevator,Objective Focus -> Material Object
elk,Identity -> Species
emerald,Objective Focus -> Material Object
emu,Identity -> Species
envelope,Objective Focus -> Material Object
escalator,Objective Focus -> Material Object
falcon,Identity -> Species
fan_(appliance),Objective Focus -> Material Object
faucet,Objective Focus -> Material Object
fawn,Identity -> Species
fence,Objective Focus -> Material Object
finch,Identity -> Species
flamingo,Identity -> Species
flea,Identity -> Species
flute,Objective Focus -> Material Object
football,Objective Focus -> Material Object
fork,Objective Focus -> Material Object
fox,Identity -> Species
freezer,Objective Focus -> Material Object
fridge,Objective Focus -> Material Object
frog,Identity -> Species
garage,Objective Focus -> Material Object
garlic,Identity -> Species
gate,Objective Focus -> Material Object
giraffe,Identity -> Species
gloves,Objective Focus -> Material Object
goat,Identity -> Species
goldfish,Identity -> Species
goose,Identity -> Species
gopher,Identity -> Species
gorilla,Identity -> Species
gown,Objective Focus -> Material Object
grape,Objective Focus -> Material Object
grapefruit,Objective Focus -> Material Object
grasshopper,Identity -> Species
grater,Objective Focus -> Material Object
grenade,Objective Focus -> Material Object
groundhog,Identity -> Species
guitar,Objective Focus -> Material Object
gun,Objective Focus -> F Harmful
guppy,Identity -> Species
hammer,Objective Focus -> Material Object
hamster,Identity -> Species
hare,Identity -> Species
harmonica,Objective Focus -> Material Object
harp,Objective Focus -> Material Object
harpoon,Objective Focus -> Material Object
harpsichord,Objective Focus -> Material Object
hatchet,Objective Focus -> Material Object
hawk,Identity -> Species
helicopter,Objective Focus -> Material Object
helmet,Objective Focus -> Material Object
hoe,Objective Focus -> Material Object
honeydew,Objective Focus -> Material Object
hook,Objective Focus -> Material Object
hornet,Identity -> Species
horse,Identity -> Species
hose,Objective Focus -> Material Object
hose_(leggings),Objective Focus -> Material Object
house,Objective Focus -> Material Object
housefly,Objective Focus -> Material Object
hut,Objective Focus -> Material Object
hyena,Identity -> Species
iguana,Identity -> Species
inn,Objective Focus -> Material Object
jacket,Objective Focus -> Material Object
jar,Objective Focus -> Material Object
jeans,Objective Focus -> Material Object
jeep,Objective Focus -> Material Object
